TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
MOVIE QUOTES;B2400191800000;09/05/2024;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;104;8;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ULTRAVIOLETA PRODUCAO AUDIOVISUAL LTDA;27.390.923/0001-53;SP;SÃO PAULO
MOVIMENTO;B2400250500000;19/06/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,5;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MIGRASSOM PRODUÇÕES ARTÍSTICAS - LTDA - ME;10.788.802/0001-61;SP;SÃO PAULO
MOVIMENTO DA FADINHA;B2400138400000;05/04/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,4;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FABRICA ESTUDIOS LTDA;03.767.725/0001-06;PE;RECIFE
MOVIMENTO LED – LUZ NA EDUCAÇÃO 2024;B2400130100000;02/04/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;50;1;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
MOVIMENTO PERPETUO;B2400040100000;29/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;80;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ZÓIO COMUNICAÇÃO LTDA;09.601.928/0001-04;AL;ARAPIRACA
MOVIMENTO VIOLAO 2022;B2400074400000;20/02/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;468;9;2022;2022;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRACAO REGIONAL NO ESTADO DE SAO PAULO;03.667.884/0001-20;SP;SÃO PAULO
MSN;B2400213600000;21/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,2;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SUPERNOVA ENTERTAINMENT LTDA;47.209.827/0001-73;SP;SÃO PAULO
MUITA ONDA;B2400183000000;03/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,4;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;UCLÃ PRODUÇÕES E EVENTOS LTDA.;29.626.669/0001-75;RJ;RIO DE JANEIRO
MULHERES ASIÁTICAS;B2400103200000;12/03/2024;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;272,9;6;2014;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SP PRODUTORA LTDA;33.181.158/0001-64;SP;BARUERI
MULHERES MARATIMBAS;B2400166800000;19/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14,9;;2024;;SALAS DE EXIBIÇÃO;NÃO;THAIS HELENA DA SILVA LEITE LTDA;42.999.841/0001-02;ES;VITÓRIA
MUNDO AGRO 2024;B2400023500000;18/01/2024;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;200;40;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;33.620.722 ALESSANDRA DE FATIMA FERNANDES;33.620.722/0001-06;MG;BELO HORIZONTE
MUNDO ANIME FRIENDS;B2400258200000;26/06/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;36;12;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;NOVAS MIDIAS DIGITAIS PROGRAMADORA LTDA;07.906.636/0001-46;RJ;RIO DE JANEIRO
MUNDO MUYLOCO;B2400130700000;02/04/2024;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;400;16;2023;2023;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MUY PRODUÇÕES ARTÍSTICAS LTDA;07.068.261/0001-92;SP;SÃO PAULO
MUNDO URBEX - EXPLORADORES URBANOS - 1ª TEMPORADA;B2400174800000;26/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;260;10;2023;2023;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;SUPER CAMERA CINEMATOGRAFICA LTDA.;10.772.357/0001-41;SP;RIBEIRÃO PIRES
MUNDO URBEX - URBEX NEWS;B2400174400000;26/04/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;182;7;2023;2023;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;SUPER CAMERA CINEMATOGRAFICA LTDA.;10.772.357/0001-41;SP;RIBEIRÃO PIRES
MUOS 3 - A.C;B2400195000000;12/05/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;42,6;5;2022;2022;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;JONATHAN LAZARO OLIVEIRA ***********;45.332.694/0001-00;SE;ARACAJU
MY PERFECT LIFE;B2400169500000;22/04/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,6;;2021;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;AREIA PRODUCOES ARTISTICAS LTDA;04.906.966/0001-43;RJ;RIO DE JANEIRO
MY PERFECT LIFE;B2400174300000;25/04/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,4;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;AREIA PRODUCOES ARTISTICAS LTDA;04.906.966/0001-43;RJ;RIO DE JANEIRO
MÃE;B2400117000000;19/03/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;22;;2024;;OUTROS MERCADOS;NÃO;NATALIA TAVARES DE MOURA;20.986.947/0001-20;PE;PETROLINA
MÃE;B2400217700000;24/05/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,3;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;PAIMON PRODUÇÕES LTDA;43.294.344/0001-63;RJ;RIO DE JANEIRO
MÃE DO OURO;B2400168900000;22/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;13,7;;2024;;SALAS DE EXIBIÇÃO;NÃO;PONTA DE ANZOL PRODUÇÕES LTDA.;30.720.613/0001-64;MG;BELO HORIZONTE
MÃO DUPLA;B2400088200000;29/02/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;10;;2024;;NENHUMA DAS OPÇÕES;NÃO;LEONARDO DEFENTE TEIXEIRA ***********;33.178.239/0001-05;SP;BOTUCATU
MÔNICA TOY  - 11ª TEMPORADA;B2400168000000;21/04/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;25,7;28;2024;2024;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;MAURICIO DE SOUSA PRODUÇÕES S.A;47.257.902/0001-71;SP;SÃO PAULO
MÚSICA DE BRINQUEDO 2ª TEMPORADA;B2400049400000;02/02/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;158,9;13;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ROTOMUSIC PRODUÇÕES E EVENTOS LTDA;00.878.771/0001-86;MG;BELO HORIZONTE
MÚSICA DE BRINQUEDO AO VIVO PATO FU PARTICIPAÇÃO ESPECIALGIRAMUNDO;B2400111300000;14/03/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;78,4;;2011;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ROTOMUSIC PRODUÇÕES E EVENTOS LTDA;00.878.771/0001-86;MG;BELO HORIZONTE
MÚSICA INFANTIL - SAUDADE - HOJE É DIA DE MARIAS;B2400123200000;25/03/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,9;;2019;;OUTROS MERCADOS;NÃO;ANA BEATRIZ DE SANTI AZEVEDO ***********;40.356.390/0001-51;PR;CURITIBA
N MODALIDADES;B2400101500000;08/03/2024;DEFERIDO;JORNALÍSTICA;;COMUM;SERIADA EM TEMPORADA ÚNICA;139,3;20;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;LEBLON AUDIOVISUAL LTDA;42.457.308/0001-00;SP;SÃO PAULO
NA CAMA COM PITANDA;B2400200600000;15/05/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;300;10;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
NA CAMA COM VIRGÍNIA;B2400091900000;04/03/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;79,9;;2024;;SALAS DE EXIBIÇÃO;NÃO;CENTRO OESTE COMUNICACAO LTDA;21.037.391/0001-99;GO;GOIÂNIA
NA FRENTE DOS BOIS;B2400121900000;25/03/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,3;;2022;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;CAMILA GAROFALO CRISPIM TAVARES;PESSOA FÍSICA;SP;RIBEIRÃO PRETO
NA LINHA DE FRENTE;B2400023700000;18/01/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;1800;30;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;F B PAIVA FILMES EIRELI;14.435.527/0001-53;DF;BRASÍLIA
NA MINHA BLUNT;B2400143000000;08/04/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,1;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MAINSTREET 1999 RECORDS GRAVADORA E EDITORA LTDA;37.582.381/0001-74;RJ;RIO DE JANEIRO
NA PELEJA BRASILEIRA;B2400236600000;12/06/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20,0;;2024;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;VENTO LESTE PRODUCOES LTDA;21.059.988/0001-34;CE;FORTALEZA
NA PISCINA COM FÊ PAES LEME;B2400007100000;09/01/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;550;10;2023;2023;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
NA REAL_VIRTUAL - 2 TEMPORADA;B2400190100000;08/05/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;360;6;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CAVIDEO PRODUÇÕES COMÉRCIO E LOCAÇÃO DE FILMES LTDA;01.666.326/0001-15;RJ;RIO DE JANEIRO
NA TRILHA DA ENERGIA III;B2400140200000;06/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;137,7;5;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CANAL AZUL PRODUÇÕES CULTURAIS LTDA;01.613.170/0001-04;SP;SÃO PAULO
NADA QUE EU QUERIA DIZER;B2400128000000;31/03/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;70,7;;2024;;SALAS DE EXIBIÇÃO;NÃO;DGT FILMES LTDA - EPP;03.021.799/0001-90;SP;SÃO PAULO
NADA SEI;B2400262300000;27/06/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,8;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;LMC PRODUÇÕES ARTÍSTICAS LTDA;01.651.043/0001-08;RJ;RIO DE JANEIRO
NALUA;B2400050200000;05/02/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14,5;;2024;;OUTROS MERCADOS;NÃO;INSTITUTO QUERO;10.227.433/0001-38;SP;SANTOS
NAS ALTURAS REMIX;B2400179300000;30/04/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,5;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;UCLÃ PRODUÇÕES E EVENTOS LTDA.;29.626.669/0001-75;RJ;RIO DE JANEIRO
NAS ONDAS DE DORIVAL CAYMMI;B2400036200000;24/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;90,5;;2024;;SALAS DE EXIBIÇÃO;NÃO;BOSSA PRODUÇÕES LTDA;04.876.666/0001-69;RJ;RIO DE JANEIRO
NAS PARADAS;B2400168100000;22/04/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;241,2;19;2022;2023;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;CAMARA LEGISLATIVA DO DISTRITO FEDERAL;26.963.645/0001-13;DF;BRASÍLIA
NAS PARADAS;B2400168200000;22/04/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;241,2;19;2022;2023;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;CAMARA LEGISLATIVA DO DISTRITO FEDERAL;26.963.645/0001-13;DF;BRASÍLIA
NASCI PRA CANTAR;B2400037100000;25/01/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,6;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;JOÃO LUIZ GIANONNI PRADO;PESSOA FÍSICA;SP;CAMPINAS
NASCIDOS PARA O COMBATE - 6º TEMPORADA;B2400175900000;29/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;122,7;4;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;RJ;RIO DE JANEIRO
NAÇÃO COMPRIMIDO;B2400175000000;26/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;22,0;;2024;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;BRUNO TADEU DE CARVALHO LINHARES;PESSOA FÍSICA;MG;NOVA LIMA
NEI LOPES NO FUNDO DO RIO;B2400018200000;15/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;250;10;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CAIPORA FILMES E PRODUCOES ARTISTICAS EIRELI;09.193.884/0001-12;BA;DIAS D'ÁVILA
NEM TUDO QUE ACABA TEM FINAL;B2400173900000;25/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;40,1;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;IGOR NÉDER LOPES;PESSOA FÍSICA;SP;SÃO PAULO
NENHUMA CASA SEM BANHEIRO;B2400133400000;03/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;16,9;;2024;;SALAS DE EXIBIÇÃO;NÃO;CONSELHO DE ARQUITETURA E URBANISMO DO RIO GRANDE DO SUL;14.840.270/0001-15;RS;PORTO ALEGRE
NEVER GIVE UP;B2400218100000;25/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,8;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;GREENHOUSE PRODUCOES;09.541.419/0001-25;SP;SÃO PAULO
NICOLE NAGIB - TIRO NO ESCURO;B2400197700000;14/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,1;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MIDAS ESTUDIOS EIRELI;67.352.013/0001-09;SP;SÃO PAULO
NINGUÉM DERRUBA O TITÃ;B2400173800000;25/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14,5;;2024;;OUTROS MERCADOS;NÃO;BIANCA AYURI PEIXOTO AOTO;PESSOA FÍSICA;SP;SÃO BERNARDO DO CAMPO
NINHOS EM MOVIMENTO;B2400063300000;15/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;169;13;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;TRÓPICO AUDIOVISUAL LTDA - ME;17.223.211/0001-96;PR;CURITIBA
NINO DINO - NA TERRA DOS DINOSSAUROS - 3ª TEMPORADA;B2400249600000;19/06/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;36;12;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLM MARKETING SOLUÇÕES EMPRESARIAIS EIRELI;40.737.325/0001-76;SP;SÃO PAULO
NINO PIANTAMAR [DVD AO VIVO EM SÃO PAULO];B2400100700000;08/03/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;57,7;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MARIA LUIZA FERREIRA SILVA;PESSOA FÍSICA;SP;SÃO PAULO
NITERÓI DE MEMÓRIAS;B2400252600000;20/06/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;33,1;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;RIOBYTE ARTE E INFORMACAO LTDA;50.377.875/0001-85;RJ;RIO DE JANEIRO
NIVUS;B2400255700000;24/06/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,2;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MAINSTREET 1999 RECORDS GRAVADORA E EDITORA LTDA;37.582.381/0001-74;RJ;RIO DE JANEIRO
NO BATENTE;B2400259700000;26/06/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;10,9;;2024;;SALAS DE EXIBIÇÃO;NÃO;SUÇUARANA FILMES LTDA;44.983.918/0001-73;SP;SÃO PAULO
NO CANTINHO;B2400169700000;22/04/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;60;3;2024;2024;OUTROS MERCADOS;NÃO;LA CARRETERA PRODUÇÕES LTDA;30.681.799/0001-90;SP;SÃO PAULO
NO RANCHO FUNDO;B2400143500000;09/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;6055;173;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
NOITE INFERNAL A MISSÃO 2 PASTOR DO PASSINHO;B2400034700000;23/01/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;16,0;;2024;;SALAS DE EXIBIÇÃO;NÃO;HELCIO SABINO TV LTDA;41.599.787/0001-37;RJ;TERESÓPOLIS
NOSSA QUERIDA JABEBIRACICA;B2400063500000;15/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;24,9;;2024;;OUTROS MERCADOS;NÃO;STUDIOMETA.AI PRODUCAO LTDA;08.923.737/0001-98;RJ;RIO DE JANEIRO
NOSSA RESENHA;B2400097800000;06/03/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,0;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MANGOLAB PRODUÇÕES ARTÍSTICAS LTDA;31.692.714/0001-31;RJ;RIO DE JANEIRO
NOSSA TRILHA (AO VIVO);B2400038300000;25/01/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,8;;2022;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;JLS PRODUÇÕES ARTÍSTICAS LTDA;10.546.134/0001-66;RS;CACHOEIRINHA
NOSSO JARDIM DE ÁGUA DOCE;B2400089200000;29/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;52;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CANAL AZUL PRODUÇÕES CULTURAIS LTDA;01.613.170/0001-04;SP;SÃO PAULO
NOSSO QUADRADINHO;B2400172200000;24/04/2024;DEFERIDO;JORNALÍSTICA;Registro de Eventos;COMUM;SERIADA DE DURAÇÃO INDETERMINADA;240;5;2022;2022;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;CAMARA LEGISLATIVA DO DISTRITO FEDERAL;26.963.645/0001-13;DF;BRASÍLIA
